Rank,Feature,Importance
1,CD-mode_of_diag,0.224
2,LABS-IND-alt,0.0541
2,LABS-IND-bilirubin,0.0541
4,LABS-IND-albumin,0.0436
5,LABS-IND-creatinine,0.0431
6,LABS-IND-potassium,0.0421
7,LABS-IND-sodium,0.0389
8,SYMPT-fatigue___2,0.0384
9,SYMPT-confusion_altered_mental_s___2,0.0342
10,SYMPT-loss_of_taste_lost_of_smel___2,0.0329
11,SYMPT-muscle_aches_myalgia___2,0.0282
12,SYMPT-dizziness___2,0.0234
13,SYMPT-joint_pain_arthralgia___2,0.0211
14,CD-temperature,0.0206
15,age,0.0185
16,CD-bp_diastolic,0.0183
17,CD-bp_systolic,0.0182
18,LABS-IND-wbc,0.0167
19,LABS-IND-triglycerides,0.0151
20,CD-heart_rate,0.0145
21,SYMPT-weight_loss___2,0.0137
22,SYMPT-loss_of_taste_lost_of_smel___1,0.0135
23,LABS-IND-monocyte,0.012
24,LABS-IND-lymphocyte,0.0106
25,LABS-IND-neutrophil,0.0105
26,SYMPT-shortness_of_breath_dyspne___2,0.0102
26,SYMPT-headache___2,0.0102
28,LABS-IND-platelets,0.009
29,SYMPT-chest_pain___2,0.0087
30,LABS-IND-haemoglobin,0.0086
31,SYMPT-abdominal_pain___2,0.0083
32,SYMPT-nausea_vomiting___2,0.0082
33,LABS-IND-urea,0.0074
34,SYMPT-cough___2,0.0068
35,SYMPT-chest_pain___1,0.0065
36,SYMPT-ear_pain___2,0.006
37,IMG-cxr,0.0059
38,LABS-IND-basophil,0.0053
39,LABS-IND-ast,0.0046
40,SYMPT-shortness_of_breath_dyspne___1,0.0043
41,SYMPT-extremity_weakness_or_numb___2,0.0038
42,SYMPT-diarrhea___2,0.0034
43,LABS-IND-monocyte_count,0.0032
43,LABS-IND-glucose,0.0032
45,LABS-IND-eosinophil_count,0.003
45,LABS-IND-lymphocyte_count,0.003
47,SYMPT-leg_swelling_edema___2,0.0027
48,SYMPT-dizziness___1,0.0025
49,SYMPT-sore_throat___2,0.0019
50,SYMPT-wheezing_or_stridor___2,0.0014
51,IMG-ekg,0.001
52,VAX-vaccinated,0.0003
53,LABS-IND-bilirubin_direct,0.0001
61,LABS-IND-ferritin,0.0
61,CD-severity_level___1,0.0
61,CD-adjunctive___1,0.0
61,CD-respiratory-other-4,0.0
61,CD-severity_level___0,0.0
61,LABS-IND-neutrophil_count,0.0
61,CD-spo2,0.0
61,CD-o2_saturation,0.0
61,LABS-IND-crp,0.0
61,IMG-echocardiogram,0.0
61,LABS-IND-ldh,0.0
61,SYMPT-loss_of_appetite___2,0.0
61,LABS-IND-aptt,0.0
61,LABS-IND-fibrinogen,0.0
61,SYMPT-skin_rash___2,0.0
