Rank,Feature,Importance
1,SYMPT-fatigue___2,0.216
2,SYMPT-shortness_of_breath_dyspne___2,0.1429
3,SYMPT-loss_of_taste_lost_of_smel___2,0.0966
4,SYMPT-cough___2,0.07
5,SYMPT-headache___2,0.0602
6,SYMPT-joint_pain_arthralgia___2,0.0555
7,SYMPT-muscle_aches_myalgia___2,0.0485
8,SYMPT-dizziness___2,0.0202
9,age,0.0149
10,LABS-IND-lymphocyte_count,0.0146
10,LABS-IND-alt,0.0146
12,SYMPT-confusion_altered_mental_s___2,0.0141
13,LABS-IND-wbc,0.0135
14,SYMPT-extremity_weakness_or_numb___2,0.0116
15,SYMPT-abdominal_pain___2,0.0115
16,LABS-IND-haemoglobin,0.0114
17,CD-mode_of_diag,0.0109
18,CD-bp_systolic,0.0107
19,LABS-IND-platelets,0.0099
20,CD-bp_diastolic,0.0079
21,CD-heart_rate,0.0074
22,IMG-cxr,0.0073
23,SYMPT-chest_pain___2,0.0068
24,LABS-IND-bilirubin,0.0066
25,SYMPT-nausea_vomiting___2,0.0062
26,CD-severity_level___0,0.006
27,SYMPT-leg_swelling_edema___2,0.0059
28,CD-temperature,0.0056
28,SYMPT-sore_throat___2,0.0056
30,LABS-IND-neutrophil_count,0.0052
31,LABS-IND-sodium,0.0051
31,LABS-IND-crp,0.0051
33,SYMPT-loss_of_taste_lost_of_smel___1,0.0042
34,LABS-IND-potassium,0.004
35,CD-severity_level___1,0.0039
37,SYMPT-shortness_of_breath_dyspne___1,0.0035
37,LABS-IND-albumin,0.0035
37,LABS-IND-creatinine,0.0035
39,LABS-IND-urea,0.0033
40,LABS-IND-glucose,0.0032
41,SYMPT-chest_pain___1,0.0031
42,LABS-IND-ldh,0.003
43,SYMPT-loss_of_appetite___2,0.0029
44,SYMPT-diarrhea___2,0.0028
45,SYMPT-skin_rash___2,0.0027
46,SYMPT-dizziness___1,0.0025
47,LABS-IND-ferritin,0.0021
48,SYMPT-wheezing_or_stridor___2,0.0019
48,LABS-IND-monocyte,0.0019
50,LABS-IND-lymphocyte,0.0018
52,LABS-IND-basophil,0.0017
52,LABS-IND-triglycerides,0.0017
52,LABS-IND-neutrophil,0.0017
54,CD-spo2,0.0016
55,SYMPT-ear_pain___2,0.0015
56,LABS-IND-ast,0.0014
57,CD-o2_saturation,0.0012
57,VAX-vaccinated,0.0012
59,LABS-IND-monocyte_count,0.0011
59,LABS-IND-aptt,0.0011
61,LABS-IND-eosinophil_count,0.0009
62,SYMPT-weight_loss___2,0.0008
63,LABS-IND-fibrinogen,0.0007
64,IMG-ekg,0.0006
65,IMG-echocardiogram,0.0004
66,LABS-IND-bilirubin_direct,0.0002
67,CD-respiratory-other-4,0.0001
68,CD-adjunctive___1,0.0
