Rank,Feature,Importance
1,SYMPT-fatigue___2,0.2355
2,SYMPT-shortness_of_breath_dyspne___2,0.1519
3,SYMPT-loss_of_taste_lost_of_smel___2,0.1115
4,SYMPT-cough___2,0.0699
5,SYMPT-headache___2,0.0635
6,SYMPT-joint_pain_arthralgia___2,0.0472
7,SYMPT-muscle_aches_myalgia___2,0.0392
8,age,0.0182
9,SYMPT-extremity_weakness_or_numb___2,0.0174
10,SYMPT-abdominal_pain___2,0.0148
11,SYMPT-dizziness___2,0.0133
12,LABS-IND-wbc,0.0125
13,LABS-IND-haemoglobin,0.0115
14,LABS-IND-crp,0.0113
15,LABS-IND-platelets,0.0112
16,LABS-IND-neutrophil_count,0.0085
17,LABS-IND-alt,0.0082
18,LABS-IND-lymphocyte_count,0.008
19,SYMPT-leg_swelling_edema___2,0.0072
20,SYMPT-sore_throat___2,0.0066
21,SYMPT-nausea_vomiting___2,0.006
22,LABS-IND-ldh,0.0057
23,CD-temperature,0.0056
24,CD-mode_of_diag,0.0054
25,SYMPT-confusion_altered_mental_s___2,0.0053
26,SYMPT-shortness_of_breath_dyspne___1,0.0051
26,SYMPT-skin_rash___2,0.0051
28,SYMPT-chest_pain___2,0.005
29,IMG-cxr,0.0047
30,CD-severity_level___0,0.0045
31,LABS-IND-sodium,0.0043
31,LABS-IND-creatinine,0.0043
33,SYMPT-diarrhea___2,0.0042
34,LABS-IND-potassium,0.0041
35,SYMPT-loss_of_appetite___2,0.004
35,SYMPT-loss_of_taste_lost_of_smel___1,0.004
37,LABS-IND-urea,0.0036
38,CD-severity_level___1,0.0034
39,CD-bp_systolic,0.0033
40,SYMPT-chest_pain___1,0.0032
40,LABS-IND-bilirubin,0.0032
42,LABS-IND-glucose,0.0031
43,LABS-IND-ferritin,0.0028
44,LABS-IND-albumin,0.0025
44,CD-bp_diastolic,0.0025
46,LABS-IND-monocyte,0.0024
48,LABS-IND-lymphocyte,0.0022
48,CD-heart_rate,0.0022
48,CD-spo2,0.0022
50,SYMPT-dizziness___1,0.0021
50,VAX-vaccinated,0.0021
52,LABS-IND-neutrophil,0.002
52,SYMPT-ear_pain___2,0.002
54,CD-o2_saturation,0.0018
55,LABS-IND-aptt,0.0017
56,SYMPT-wheezing_or_stridor___2,0.0013
57,LABS-IND-ast,0.0011
57,LABS-IND-fibrinogen,0.0011
59,LABS-IND-monocyte_count,0.0009
60,LABS-IND-eosinophil_count,0.0007
60,LABS-IND-basophil,0.0007
62,LABS-IND-triglycerides,0.0006
63,LABS-IND-bilirubin_direct,0.0002
63,IMG-ekg,0.0002
66,CD-respiratory-other-4,0.0
66,IMG-echocardiogram,0.0
66,CD-adjunctive___1,0.0
66,SYMPT-weight_loss___2,0.0
