Rank,Feature,Importance
1,CD-mode_of_diag,0.1479
2,LABS-IND-aptt,0.0757
3,LABS-IND-monocyte_count,0.0668
4,CD-bp_diastolic,0.0621
5,LABS-IND-haemoglobin,0.0616
6,LABS-IND-bilirubin,0.0602
7,CD-heart_rate,0.0585
8,CD-bp_systolic,0.0564
9,LABS-IND-ferritin,0.0547
10,CD-o2_saturation,0.0514
11,LABS-IND-triglycerides,0.0492
12,LABS-IND-albumin,0.0486
13,LABS-IND-bilirubin_direct,0.0413
14,CD-adjunctive___1,0.0344
15,LABS-IND-crp,0.0184
16,LABS-IND-fibrinogen,0.0119
17,LABS-IND-creatinine,0.0109
18,age,0.0089
19,SYMPT-fatigue___2,0.008
20,SYMPT-chest_pain___2,0.0073
21,LABS-IND-eosinophil_count,0.0066
22,LABS-IND-urea,0.0063
23,SYMPT-shortness_of_breath_dyspne___1,0.0061
24,LABS-IND-lymphocyte_count,0.0049
25,SYMPT-dizziness___2,0.0046
26,SYMPT-muscle_aches_myalgia___2,0.0042
26,SYMPT-dizziness___1,0.0042
28,LABS-IND-alt,0.0041
29,LABS-IND-platelets,0.0038
30,LABS-IND-wbc,0.0035
31,LABS-IND-ast,0.0031
32,SYMPT-headache___2,0.0027
33,SYMPT-cough___2,0.0019
34,SYMPT-joint_pain_arthralgia___2,0.0018
35,IMG-cxr,0.0013
36,SYMPT-shortness_of_breath_dyspne___2,0.001
37,LABS-IND-glucose,0.0009
39,SYMPT-extremity_weakness_or_numb___2,0.0007
39,SYMPT-weight_loss___2,0.0007
39,IMG-ekg,0.0007
39,SYMPT-abdominal_pain___2,0.0007
42,SYMPT-loss_of_appetite___2,0.0006
43,IMG-echocardiogram,0.0005
43,SYMPT-loss_of_taste_lost_of_smel___2,0.0005
45,SYMPT-loss_of_taste_lost_of_smel___1,0.0002
46,SYMPT-chest_pain___1,0.0001
46,SYMPT-nausea_vomiting___2,0.0001
58,SYMPT-skin_rash___2,0.0
58,VAX-vaccinated,0.0
58,SYMPT-leg_swelling_edema___2,0.0
58,SYMPT-wheezing_or_stridor___2,0.0
58,CD-temperature,0.0
58,CD-respiratory-other-4,0.0
58,CD-severity_level___0,0.0
58,LABS-IND-sodium,0.0
58,LABS-IND-potassium,0.0
58,CD-severity_level___1,0.0
58,LABS-IND-neutrophil_count,0.0
58,LABS-IND-neutrophil,0.0
58,LABS-IND-monocyte,0.0
58,LABS-IND-basophil,0.0
58,SYMPT-sore_throat___2,0.0
58,LABS-IND-lymphocyte,0.0
58,LABS-IND-ldh,0.0
58,SYMPT-confusion_altered_mental_s___2,0.0
58,CD-spo2,0.0
58,SYMPT-diarrhea___2,0.0
58,SYMPT-ear_pain___2,0.0
