Rank,Feature,Importance
1,CD-adjunctive___1,0.3241
2,CD-required_oxygen,0.2322
3,age,0.1444
4,SYMPT-cough___1,0.103
5,MED-Cardiovascular-agents,0.0547
6,SYMPT-shortness_of_breath_dyspne___1,0.0493
7,SYMPT-dizziness___1,0.0347
8,SYMPT-runny_nose_rhinorrhea___1,0.0137
9,HHX-Obesity,0.01
10,HHX-Psychiatric disease,0.0094
11,VAX-vaccinated,0.0054
12,SYMPT-weight_loss___1,0.0049
13,SYMPT-chest_pain___1,0.0042
14,SYMPT-headache___1,0.004
15,SYMPT-loss_of_taste_lost_of_smel___1,0.0033
16,SYMPT-fatigue___1,0.0022
17,SYMPT-extremity_weakness_or_numb___1,0.0005
22,SYMPT-sore_throat___1,0.0
22,HHX-OTHER-Sleep-disorder,0.0
22,MED-Respiratory-tract-agents,0.0
22,CD-medication_received___3,0.0
22,CD-medication_received___4,0.0
22,CD-medication_received___5,0.0
22,CD-respiratory-other-4,0.0
22,CD-severity_level___0,0.0
22,CD-severity_level___1,0.0
