Rank,Feature,Importance
1,age,0.3102
2,SYMPT-shortness_of_breath_dyspne___1,0.0779
3,CD-severity_level___3,0.0663
4,SYMPT-loss_of_taste_lost_of_smel___1,0.049
5,CD-severity_level___1,0.0457
6,SYMPT-nausea_vomiting___1,0.0455
7,SYMPT-extremity_weakness_or_numb___1,0.0425
8,SYMPT-muscle_aches_myalgia___1,0.0416
9,SYMPT-joint_pain_arthralgia___1,0.0388
10,HHX-Diabetes,0.0384
11,SYMPT-diarrhea___1,0.0374
12,MED-Respiratory-tract-agents,0.0348
13,SYMPT-chest_pain___1,0.0336
14,CD-medication_received___1,0.0327
15,CD-severity_level___2,0.0324
16,HHX-Obesity,0.0252
17,VAX-vaccinated,0.0229
18,CD-difficulty_with_concentrat___4,0.0116
19,CD-memory_problems___4,0.0077
20,SUBST-3,0.0057
